sentence,label
R,o
"The most wondrous love story in years , it is a grea",t
Some movies suck you in despit,e
My Wife Is an Actress works as well as it does because -LRB- the leads -RRB- are such a compani,o
"With Spy Kids  : The Island of Lost Dreams , however , Robert Rodriguez adorns his family-film plot with an elegance and maturity that even most contemporary adult m",o
Based on Dave Barry 's popular bo,o
Bouquet gives a ,p
A poignant comedy that offers food f,o
... a series of tales told with the intricate pr,e
If yo,u
"This filmed Tosca -- not the first , by the way -- is a pretty good job , if it 's filmed Tosca that you wan",t
"I 'll stay with the stage versions , however , which ",b
"While the path may be familiar , first-time director", 
An engaging criminal romp that will have viewers guessing just who 's being conned right up to the final,e
The, 
"It 's a head-turner -- thoughtfully written , beautifully rea",d
It asks n,o
"It is as uncompromising as it is nonjudgmental , and makes clear that a pro",s
`` Barbershop '' is a good-hear,t
"Tully is in many ways the perfect festival film : a calm , self-assured portrait of sma",l
I ,l
"I like that Smith , he 's not making fun of these", 
... the implication is Kissinger m,a
` What ',s
Kiarostami has crafted a deceptively ca,s
I had more fun watching Spy than I, 
What Lee does, 
"Murder by Numbers ' is n't a great movie , but ",i
For those o,f
"What -LRB- Denis -RRB- accomplishes in his chilling , unnerving film is a double portrait of two young women whose lives were as claustrophic , suff",o
"A well-done film of a self-reflexive , philosophic",a
"Texan director George Ratliff had unlimited access to families and church meetings , and he delivers fascinating psyc",h
"The rich performances by Friel -- and especially Williams , an", 
The new Insomnia is a surpri,s
A, 
"Jagger , Stoppard and director Michael Apted ... deliver a riveting and surprisingly", 
Greengrass -LRB- working from Don Mullan 's script -RRB- for,g
A thought-provoking a,n
"Whatever one makes of its political edge , ",t
Mama Africa pretty mu,c
It does give y,o
The main problem being that it 's only a pe,e
Roman Polanski 's autobiograph,i
"A perfectly respectable , perfectly in",o
Romanek 's themes are every bit a,s
Beyond the c,l
"Seeing Seinfeld at home as he watches his own appearance on Letterman with a clinical eye reminds you that the key to stand-up is to always make it look easy , even though the reality is anything b",u
Speaks eloquently about the symbiotic relationship, 
"The work of an artist tormented by his heritage , using his storytelling ability to honor th",e
"The audacity to view one of Shakespeare 's better known tragedies as a dark comedy is , by itself , deserving of discussio",n
"This is an exercise in chilling style , and Twohy films the sub , inside and out , with an ",e
"An uncomfortable experience , but one as brave an",d
"Hailed as a clever exercise in neo-Hitchcockianism , this clever and very satisfying pic",t
Funny and also heartwarming wit,h
At the film 's centre is a, 
The viewer takes great p,l
"With amazing finesse , the film shadows Heidi 's trip back to Vietnam and the city where her mother , Mai Thi K",i
Dire,c
A heroic tale ,o
It 's all a rather ,s
"has far more energy , wit ",a
A little better than Sorcerer ,'
A chilling movie without oppressi,v
A uniquely sensual metaphorical dram,a
If you like ,p
Be prepared to cling, 
The Ring never lets you off the, 
Thumbs up to Paxton for not falling into the Hollywood trap and making a va,n
At once disarmingly straightforward and stri,k
If ,y
Sensitive ensemble performances and good period reconstruction add up to a moving tragedy with some buoyant human, 
It 's not the least of Afghan tragedies that this noble warlord would be co,n
"It 's a lovely , sad dance hig",h
The script by David K,o
This is a visually stunning rum,i
"Short-story quaint , touchingly mending a child 's pain for his dead mother via communication wi",t
It 's always fascinating, 
A quiet family drama with a little bit of romance and a dose of dar,k
"The tasteful little revision works wonders , enhancing the cultural and economic subtext , bringing richer meaning to the", 
Kosminsky ... puts enough salt into the wounds of the tor,t
One of the greatest films I 've ever ,s
"Its gentle , touchin",g
About as big, 
Bound to ,a
"Even these tales of just seven children seem at times too many , althoug",h
Every child 's story is what matte,r
This film can only poin,t
A poignant and gently humorous parable that loves its characters and communicates something rather be,a
Real Women Have Curves does n't offer any easy answer,s
Vampire epic succeeds as spooky action-packed trash, 
One of the fun,n
"While somewhat less than it might have been , the film is a good one , and you 've got to hand it to director", 
Like the chilled breath of oral storytelling, 
A charmer from Belgiu,m
"A wild , endea",r
Jackie Chan movies are a guilt,y
"Brown Sugar signals director Rick Famuyiwa 's emergence as an articulate , grown-up voice in African-American ",c
With exquisite craftsmanship ... Olivier Assayas has fashioned an absorbing look at provincial bourgeois French society ,.
It 's rare for any movie to be as subtle and touching, 
"It has a way of seeping into your consciousness , with lingering questions abo",u
Maelstrom is a de,l
-LRB- Leigh -RRB- has a true talent for drawing wrenching performances from hi,s
-LRB- D -RRB- ,e
"The ingenious construction -LRB- adapted by David Hare from Michael Cunningham 's novel -RRB- constantly flows forwards and back , weaving themes among three strands which allow us to vie",w
"Assured , glossy and shot through with brittle ",d
The bottom line is the piece wo,r
It was only a matter of time before some savvy producer sa,w
It is Scott 's convincing portrayal of Roger the sad cad, 
"While this movie ,", 
Meyjes ... has done his homework and soaked up some jazzy new revis,i
"Aside from Rohmer 's bold choices regarding point of view , Th",e
"What ` Dumb and Dumber ' would have been without the vulgarity and with an intelligent , life-af",f
"... a vivid , thoughtful , unapologetically raw coming-of-age tale full of sex , dru",g
"You would n't want to live waydowntown , but it is a hilarious place to visit", 
Films are made of li,t
Changing Lanes tr,i
"It does n't reach them , but the effort is grat",e
Whe,n
"The story is a rather simplistic one : grief drives her , love drives him , and a second chance to find love", 
Terrific casting and solid ex,e
"A hard look at one man 's occupational angst and its subsequent reinvention , a terri",f
-LRB- Ramsay -RRB- visually transforms the dreary expanse of dead-end distaste the characters inhabit into a poem of, 
F,r
"At its best , this is grand-scale moviemaking for a larger-than-life figure , an artist who has been awarded myt",h
"The plot of the comeback curlers is n't very interesting actually , but what I like about Men With Brooms and what is kin",d
 minutes into the film you 'll be white-knuckled and unable, 
"It 's a beautiful film , full of elaborate ",a
Could this be the, 
Not since Ghostbusters has a film used Manhattan 's architecture in such a gloriously goofy w,a
As tricky and sat,i
The universal theme of becoming a better person through love has never been filmed more irre,s
Cub,e
With lesser, 
"With Freeman and Judd , I 'll at least remember their c",h
"As a director , Paxton is surprisingly brilliant , deftly sewing together what co",u
Th,e
Daughter From Danang sticks with its subjects a little longer and tells a deeper ,s
A coming-of-age film that avoids the cartoonish clichés and sneering humor of the gen,r
"The faithful will enjoy this sometimes wry adaptation of V.S. Naipaul 's novel , but newcomers may find thems",e
A ,d
"Barry convinces us he 's a dangerous , secretly unhin",g
"Takes you by the face , strokes your cheeks and coos beseechingly at you : slow down , shake off your tensions and take", 
I do n't feel the leas,t
"It 's a smart , solid , kinetically-charged spy flick worthy of a cou",p
Nothing overly origi,n
Changing Lanes is an anomaly for a Hollywood movie ; it 's a well-written and occasiona,l
borrows a bit from the classics `` Wait Until Dark '' and `` Extremities '' ... But in t,e
"Because Eight Legged Freaks is partly an homage to Them , Ta",r
Puts a refreshing and comical spin on the a,l
If you ,g
Matthew Lil,l
"Though filmed partly in Canada , Paid in Full ha",s
"`` Spider-man is better than any summer blockbuster we had to endure last summer , and hopefully , sets the tone for a summer ",o
"If you 're a comic fan , you ca n't miss", 
"If you 're not , you 'll stil",l
"This movie has a strong message about never giving up on a loved one , but it 's not an easy ",m
The, 
Excellen,t
"In a summer of clones ,", 
"While the humor is recognizably Plympton , he has actually bothered to ",c
"Jolting into Charleston rhythms , the story has the sizzle of old news that h",a
Who c,a
An overly melodramatic but som,e
Most thrillers send audiences out ta,l
Close enough in spirit to its freewheeling trash-cinema roots to be a breath of fresh air ,.
Skillfully weaves both the elements of the plot and a powerfully ev,o
Damon brings the prop,e
"For the most part , it works beautifully as a movie with",o
"As played by Ryan Gosling , Danny is a frighteningly fascinating contrad",i
"This is not Chabrol 's best , but ev",e
Despite its f,l
You 'll end, 
If you ever wondered what it would be like to be smack in, 
The Woodman seems to have directly influenced this, 
I loved the look of this ,f
Those with a modicum ,o
Beautiful to watch and holds ,a
 Conversations may be a bit too enigmatic and overly ambitious to be ,f
"The movie is our story as much as it is Schmidt 's , no matter if it 's viewed as a self-reflection or", 
Foster breathes life into a roll that, 
Quitting offers piercin,g
Some people want the ol' ball-and-chain and the,n
-LRB- Barry -RRB- gives Assassin a dis,q
It 's refreshing ,t
At its best -LRB- and it does have some very funny se,q
"As improbable as this premise may seem , Abbass 's understated , shining performanc",e
Anyone who ever fantasized about space travel but ca n't afford the $  million ticket to r,i
`` Th,e
Transforms ,o
"An intelligent and deeply felt work about impossible , irrevocable choices and th",e
"It may sound like a mere disease-of - the-week TV movie , but A Song For Martin is made infinitely more wrenching by the performances of real-life spouses", 
Sayles is making a statement about the inability of dreams and aspirations to carry forward into t,h
"As Antonia is assimilated into this newfangled community , the film settles in and becomes compulsively watchable in ",a
"every once in a while , a movie will come along that turns me into t",h
On its own staggeringly unoriginal, 
It 's never dull and al,w
"The tonal shifts are jolting , and though Wen 's messages are profound and thoughtfully delivered , more thor",o
"As commander-in-chief of this film , Bigelow demonstrates a brea",d
"With wit and empathy to spare , ",w
All of it works smoothly under the direction of Spielberg ,","
The kind of sweet-and-sour insider mo,v
"With ` Bowling for Columbine , ' Michael Moore gives us the perfect starting point for a national conversation about guns , violence , a",n
One of the year 's most weirdly engaging and unpredi,c
On,e
"None of his actors stand out , but that 's less of a problem here than it would be in another film : Characterization matters ",l
A terrifically enter,t
A ra,r
Solondz is so int,e
Whatever heartwarming scene the impr,e
"It establishes its ominous mood and tension swiftly , and if the suspense never ris",e
"Although What Time offers Tsai 's usual style and themes , it has a more colorful , more playful tone than his", 
A movin,g
A th,o
"A sloppy , amusing comedy that pro",c
... a rich and intelligent film that uses its pulpy core conceit, 
It ,i
"captures that perverse element of the Kafkaesque where identity , overnight , is ",r
"The actors are simply too good , and the story too intriguing , for technical flaws ",t
An estrogen, 
Imamura has said, 
It may als,o
It 's a ripper of a yarn and, 
Naomi Watts is terrific as Rachel ; her petite frame and v,u
"A family film that contains some hefty thematic material on time , death , eternity , and what is needed to live a rich and fu",l
With ,d
Exactly what its title implies :, 
The film is darkly funny in its observation of just how much more grueling and time-consuming the i,l
"A smart , compe",l
A must-see for fans of thoughtful war films and those interested in the sights and sou,n
I ,f
... Rogers 's mouth never stops shut about the ,w
Deliberately and s,k
"It 's all entertaining enough , but do n't look for ",a
Nicholson 's understated performance is wonde,r
As, 
"Despite its old-hat set-up and predictable plot , Empire still has enough moments to keep it entert",a
Another entertaining, 
It 's not a c,l
I am more offended by his lack of faith in his audience than by anything on display, 
A sharp s,a
Tsai convincingly paints a specifically urban sense of disassociation here, 
If you c,a
An unorthodox little film noir organized crime story that ,i
"A pleasing , often-funny", 
-LRB- A -RRB- rare movie that makes us re-assess the basis for our liv,e
All three actresse,s
An Asian neo-realist treasure ,.
Plummer steals the show without resorting to camp as Nicholas ' wounded and wounding Uncle Ralp,h
I,t
"... less a story than an inexplicable nightmare , right down to the population 's shrugg",i
I am highly amused by the idea that we have come to a point in society where it has been deemed important en,o
"A compassionate , ",m
An original littl,e
The film is abou,t
And it, 
O,n
An instance of an old dog not only learning but inventing a rema,r
Rodriguez, 
"Amy and Matthew have a bit of a phony relationship , but the", 
Garcia and the other actors help make the wobbly premise work ,.
"It 's surprisingly decent , particu",l
"A fascinating , unnerving ex",a
It 's no accident that The Accidental Spy i,s
Leave it to the French to truly capture the terrifying angst of the modern working man without turning the film into a cheap t,h
"The director , Mark Pellington , does a terrific job conjuring up a sinister , menacing atmosphere though unfortunately all t",h
Heartwarming, 
Makes the case for a stro,n
Steer,s
`` Home Movie, 
Highly recommended viewi,n
The, 
Scott delivers a terrific performance in, 
... Wallace is sm,a
"Combines sharp comedy , old-fa",s
"While most films these days are about nothing , this film seems to be about everything that 's plaguing the human spirit in a relentle",s
Marshall puts a suspenseful spin ,o
As livel,y
"Though Lan Yu lacks a sense of dramatic urgency , the film makes up for it with a p",l
You may leave the theater, 
"Take any 12-year-old boy to see this picture , and he 'll be your slav",e
But this is not a movie about an inhu,m
"At times THE GUYS taps into some powerful emotions , bu",t
It 's not a motion picture ; ,i
What makes it worth watching is Quaid 's, 
Soderbergh skims the f,a
What 's left is a rich stew of longing, 
It 's the brilliant surfing photography bri,n
More of the same from ,t
"Hatfield and Hicks make the oddest of couples , and in this sense the movie becomes a study of the gambles of the publi",s
"Best of all is Garcia , who perfectly portrays the desp",e
The filmmakers tr,y
A sobering and powerful documentary about the most severe kind of person,a
"Often overwrought and at times positively irritating , the film turns into an engrossing thriller almost in s",p
"Humorous and heartfelt , Douglas McGrath 's version of ` Nicholas Nickleby ' left me feeling refreshed and hopef",u
Not many movies have tha,t
A poignant lyricism runs through Balzac and the Little Chinese Seamstr,e
This is SO De Palma ,.
If you l,o
"If you do n't ... well , skip to another ",r
Rouge is less about a, 
The moral shrapnel and mental shellshock will linger long after th,i
Un,f
The movie enters a realm where few non-porn films venture, 
Although the subject matter may still be too close ,t
It 's not going to be everyone 's bag, 
Huppert and Girardot give performances of exceptional honesty, 
It has that rare quality of being able ,t
A cautionary tale about the grandiosity of a college student who sees ,h
An infinitely wittier ve,r
F,e
"-LRB- Hayek -RRB- throws herself into this dream Hispanic role with a teeth-clenching gusto , she strikes a potent chemistry with M",o
Mr. Deeds is, 
You could love Safe Conduct -LRB- Laissez Passer -RRB- for being a subtitled French movie that is  minu,t
You could ha,t
"With We Were Soldiers , Hollywood makes a valiant attempt to tell a story about the Vietnam War before the patholo",g
"` Moore is like a progressive bull in a china shop , a provocateur crashing into id",e
Broomfield reveals an ironic manifestation of institutionalized slavery t,h
At just, 
Stuart 's poor-me persona needs a whole bunch of Snowbal,l
But once the falcon arrives in the ski,e
There is, 
Boasts enough f,u
Director Juan Jose Campanel,l
I,f
"Nakata 's technique is to imply terror by suggestion , rathe",r
``  Conversations About One Thing '' is an intelligent flick that examines many different ideas from ,h
"Satin Rouge is not a new , or inventive , journey , but it 's ",e
"Though an important political documentary , this does not", 
Cannon 's co,n
In its ,u
She may not, 
"A fiercely clever and subtle film , capturing the precarious balance between the extravagant confidence of the exiled aristoc",r
OK artho,u
"The power of this script , and the performances that come with it , is that the whole damned", 
"The movie itself is far from disappointing , offering an original take on courtroom movies , a few nifty twists that are so crucial to the genre and another first-rate performa",n
About Schmidt is undoubtedly one of the, 
If you 're not deeply touched by this mov,i
The charm of Revolution OS is rather, 
Until its final minutes this is a perceptive study of two families in crisis -- and of two girls whose friendship is severely tested by bad ,l
Offers the flash of, 
Filmmakers Dana Janklowicz-Mann and Amir Mann area headed east, 
For all its problems ... The Lady and the Duke surp,r
An edifying glimpse into the wit and revolutionary spir,i
Craig Bartlett and director Tuck Tucker should be commended for illustrating the merit,s
The film is saved f,r
This is, 
A fle,e
Sorvino is delightful in the centr,a
"She nearly glows with enthusiasm , sensuality a",n
It 's imm,e
"The story , once i",t
"Great performances , stylish cinemat",o
`` Mr. Deeds '' is suitable summer entertainment that offers escapism wi,t
"It 's an ambitious film , and as with all", 
"But on the whole , you 'r",e
Chaiken ably balances real-time rhythms with propu,l
"This is an extraordinary film , not least because it is Japanese and yet feels unive",r
"In a summer overrun with movies dominated by CGI aliens and super heroes , it revigorates the mind to see a feature that concentrates on people , a project", 
The,r
A funny and touching film that is gorgeously acted by a British ,c
There 's nothing more satisfying during a summer of event movies than a spy thriller like The Bourne Identity that 's packed with just as m,u
I 'm not generally a fan of vegetables but ,t
"Qutting may be a flawed film , but it is noth",i
"Beautifully crafted , engagin",g
A thoughtful and surprisingly affecting portrait of a screwed-up man who dared to m,e
"A cultural wildcard experience : wacky , different , unusual , even nutty ",.
Daughter ,f
It does n't flinch from, 
"For most of its footage , the new thril",l
This is not an easy, 
"But it could be , by its ar",t
A very good film sits in the, 
... spellbinding fun and deliciously expl,o
It ',s
"Impossible as it may sound , this ",f
"Despite the predictable parent vs. child coming-of-age theme , first-class , natural acting and a look at `` the real Americ",a
"One of the smarter offerings the horror genre has produced in recent memory , even if it 's far tamer than a",d
One of recent memory 's most thou,g
"the film does n't sustain its initial promise with a jarring , new-agey tone creep",i
"Blade II is as estrogen-free as movies get , so you might want to leave your date behind for th",i
The message is that even the most, 
Many a parent and their teen -LRB- or preteen -RRB- kid c,o
So could young romantics out on a da,t
"All leather pants & augmented boobs , Hawn is hilarious as she tries to resuscitate the fun-loving liber",t
"The members manage to pronounce KOK exactly as you think they might , thus giving the cast ample opportunity to use that term as", 
"It 's very Beavis and Butthead , yet alw",a
While this gen,t
"Chicago offers much colorful eye candy , including the spectacle of Gere in", 
A difficult but worthy film, 
By and large ,t
"Some of the most ravaging ,", 
A charmi,n
"Henry Bean 's thoughtful screenplay provides no easy answers , but offers a compelling investig",a
A great cast and a wonderful but sometimes confusin,g
Playing a role of almost Bergmanesque intensity ... Bisset is both convincing, 
"A smart , provocative drama that does the nearly impossible : It gets under the skin of a man we only know as ",a
An alternately fascinating and f,r
Grif,f
"Nair 's cast is so large it 's Altman-esque , but she deftly spins the multiple stories in a vibrant and intoxicating", 
The movie plays up the cartoon 's more obviou,s
Poi,g
"We 've seen it all before in one form or another , but director Hoffman , with great help from Kevin Kline , makes us care about this latest reincarnation of the world 's gre",a
Secretary is not a movie ab,o
It is ,a
Even though it 's common knowledge that Park and ,h
Although some viewers will not be ab,l
"What could have easily become a cold , calculated exercise in postmodern pastiche", 
"A delightful surprise because despite all the backstage drama , this is a movie that tells stories that work -- is charming , is moving , is funny and looks professi",o
The IMAX, 
Does an impressive job, 
It 's all about Anakin ... and the lu,s
Lacks the inspiration of the original and has a bloated plot that str,e
But it also has many of the things that made the fir,s
It ,'
Its rawness and vitality give it, 
A live-wi,r
"The year 's greatest adventure , and Jackson 's limited but enthusiastic adaptatio",n
It 's fairly solid -- not to mention well edited so that it certainly does n't feel like a film, 
Brims with passion : for wo,r
It 's secondary to American Psycho but still has claws enough to get inside you and st,a
"The Hours , a delicately crafted film , is an impressive achievement in spite of a river of sadn",e
Fudges fact and fanc,y
"This is unusual , food-for-thought cinema that 's as entertaining", 
With an expressive face reminiscent of Gong, 
"Nohe 's documentary about the event is sympathetic without being gullible : He is n't blind to the silliness , but also captures moments of spontaneous creativity and authentic co-oper",a
"It may not be as cutting , as witty or as t",r
"Secret Ballot is a funny , puzzling movie ambiguous enough to be engaging and o",d
"Although devoid of objectivity and full of nostalgic comments from the now middle-aged participants , Dogtown and Z-Boys has a compelli",n
"It 's got some pretentious eye-rolling moments and it did n't entirely grab me , but ",t
Birthday Girl walks a trick,y
The enjoyable Undercove,r
Brings an irresistible blend of warmth and humo,r
Jackson, 
To, 
"works , it 's t",h
A wild ride of a movie that keeps, 
Confessions is without a doubt a mem,o
"Weird , vulgar comedy that 's defini",t
A., 
cynical and serious look at teenage boys doing what they do best - being teenager,s
The film is a v,e
Australian filmmaker David Flatman uses the huge-screen, 
A dazzling dream, 
A keep - 'em - guessing plo,t
Brave and sweetly rendered love st,o
The film proves unrelentingly grim -- and equal,l
A hallmar,k
The Last Kiss will probably never achie,v
"If you like blood , guts and crazy beasts stalking men with guns though ... you will l",i
The difference between Cho and most comics is that her confidenc,e
Sad to say -- it accurately reflects the rage and alienation that fuels the ,s
There is a ,s
"` Anyone with a passion for cinema , and indeed sex , should see it as soon as poss",i
Seeks ,t
Mordantly fun,n
What makes the mo,v
"Fast and funny , an action cartoon that ",'
One of those rare films that come by once in a while with flawless amounts, 
"The AAA of action , XXX is ",a
And ,v
"Earnest , unsubtle and Hollywood-predictable , Green Dragon is still a ",d
"An ambitious movie that , like Shiner 's organizing of the big fight , pulls off enough of its effects to make up for the ones that d",o
Nair and writ,e
The film 's unhurried pace is actually one of ,i
"Entirely appropriately , the tale unfolds like a lazy summer afternoon and concludes with the crisp clarity of a", 
"Despite its floating narrative , this is a remarkably accessible and haunting f",i
Vibrantly colored and, 
"Sweetly sexy , funny and to",u
"... while Dark Water is n't a complete wash -LRB- no pun intended -RRB- , watched side-by-side with Ringu , it ultimately", 
Is truth ,s
In -LRB- sc,r
For decades we ,'
Prepare to marvel, 
"A witty , low-key rom",a
More go,o
"If you 're looking for a smart , nuanced look at de Sa",d
"Could have been crisper and punchier , but it 's likely to please au",d
Together writer-director Danny Verete 's three ta,l
"Bursting through the constraints of its source , this is one adapted - from-television movie that actually looks as if it be",l
Its almost too-spectacular coastal setting distracts slightly ,f
"In other words , it 's just another sport",s
Yet this one mak,e
"Plus , like I a",l
C'mo,n
This story of a determined, 
Li,k
A modestly made but ,p
It irritates and ,s
"Not everything in this ambitious comic escapade works , but Coppola , along with his", 
It must be i,n
The performer,s
This slight premise ... works because of the ideal casti,n
Hashiguchi covers this ter,r
Although the film, 
The dra,g
Kudos to the most enchanting fil,m
"It works well enough , since the thrills pop up frequently", 
Colorful and deceptively buoyant unti,l
"It 's a powerful though flawed movie , guaranteed to put a lump i",n
"Director Paul Cox 's unorthodox , abstract approach to visual",i
"For  often hilarious minutes , -LRB- Cho -RRB- riffs on the diciness of colonics , on straight versus gay personal ads , on how men would act if they had periods , and on the perils of a certain outré sexual p",r
Most of the things that made the original Men in Black such a pleasure are stil,l
Mos,t
Best enjoyed as a work of fiction insp,i
Those seeking a definitive accoun,t
-LRB- Westbrook -RRB- makes, 
A film ,t
Even if Invincible is not quite the career peak that The P,i
"Ultimately too repellent to fully endear itself to American art house audiences , but it is notable for its stylis",t
Hardly a ,f
A wild ride with eight boarders from Venice Beach that was a deserved co-winner of the Audience Award for documentaries at the Sundance Film Festiv,a
The film 's only misst,e
"A sweet , tender sermon about a 12-year-old Welsh boy mor",e
"the film belongs to the marvelous Verdu , a sexy slip of ",a
More, 
"For once , a movie does not proclaim the truth about two love-struck somebodies , but permits them time and space to convince us ",o
If you 're burnt out on It 's a Wonderful Life marathons and bored with A Christmas Car,o
It depends on how well flatulence gags fit into your holiday concep,t
Moonlight Mile does n't quite go the distance but the cast is impressive and they all give life to these broken characters who ,a
It is an indelible epic American story about two f,a
"Not as well-written as Sexy Beast , not as gloriously flippant as Lock , Stock and Two Smoking Barrels , but stylish and moody ",a
Quit,e
A f,l
The filmmakers wisely decided to let Crocodile Hunter Steve Irwin ,d
A winning and wildly, 
We do get the distinct impression that this franchise is drawin,g
Worth catching for Griffiths, 
"The tone errs on the shrill side , tempered by a soft sout",h
"An interesting psychological game of cat-and-mouse , three-dimensional characters and believable perf",o
A m,e
I love the robust middle o,f
"The power of Shanghai Ghetto , a documentary by Dana Janklowicz-Mann and Amir Mann , rests in the voices of men and women , now in their 70s , who lived there in the 1940s ",.
Maintains your interest until the end and even leaves you with a few li,n
"There is a beautiful , aching sadness to it a",l
Paul Cox neede,d
It is up to you ,t
"If Divine Secrets of the Ya-Ya Sisterhood suffers from a ploddingly melodramatic structure , it comes to l",i
"If you ignore the cliches and concentrate on City by the Sea 's interpersonal drama ,", 
"There are n't too many films that can be as simultaneously funny , offbeat and heartwarming -LRB- without a thick shmear of the goo , at least -RRB- , but `` Elling '' manages to do all three", 
"Reign of Fire is hardly the most original fantasy film ever made -- beyond Road Warrior , it owes enormous debts to Aliens and every previous dragon drama -- but that barely makes it any less ",e
"An earnest , roughshod document , it serves as a workable primer for the region 's recent history , and woul",d
Samuel Beckett applied to the Iranian voting, 
The Bard as black comedy -- Willie wou,l
Another trumpet blast that there may be a, 
"... the film 's considered approach to its subject matter is too calm and thoughtful for agitprop , and the thinness of its chara",c
"Tadpole may be one of the most appealing movies ever made about an otherwise appalling , and downright creepy , subject -- a teenage boy in love with ",h
This is a story that zings all the way through with originality, 
"As underwater ghost stories go , Below casts its spooky net out into the Atlantic Ocean and spits it back , grizzled and charred , somewhere northwest of the Bermuda T",r
"It is a challenging film , if not always ",a
"Trapped wo n't score points for political correctness , but it may cause par",e
"A rock-solid gangster movie with a fair amount of suspense , intriguing characters and bizar",r
It 's incredible the number of s,t
Just when you think that every possible ,a
"As they used to say in the 1950s sci-fi movies , Signs is a tribute to Shyamalan 's gifts , which are such that we 'll keep watching the s",k
"There 's no conversion effort , much of the writing is genuinely witty and both stars are appealing enough to probably have a good shot at", 
"Like a skillful fisher , the director uses t",h
A film with contemporary political resonance illustrated by a winnin,g
Kids five and up will be delight,e
"Parents may even find that it goes by quickly , because it has some of the funniest jokes of any movie this year , in",c
"An unsettling , memora",b
Maid in Manhattan might not look so appealing on third or fourth viewing d,o
Much, 
Ferrara 's stronges,t
Spielberg 's first real m,a
The screenwriters dig themselves in deeper every time th,e
More than simply a portrait of early ext,r
Wha,t
The level of acting elevates the material above pat in,s
"A deft , delightfu",l
"Daringly perceptive , taut , pierci",n
Delivers more than its fair share o,f
A fairly enjoyable mixture of Longest Ya,r
"Happily , some things are immune to the folly of changing t",a
For proof of t,h
"Hugely entertaining from start to finish , featuring a fall from grace that still leaves shockwaves , it will gratify anyone who has ever suspected Hollywood of being overrun by", 
"It 's not like having a real film of Nijinsky , but at least it 's better than that eponymous  biopic that used soap in the places", 
It 's probably worth catching s,o
If only it had the story t,o
Like other great docu,m
... only Bond can save us from the latest eccen,t
The first half bursts with a goofy energy previous Disney films ,o
It 's quite, 
"An old-fashioned scary movie , one that relies on lingering terror punctuated by sudden shocks and not constant b",l
For al,l
"What makes How I Killed My Father compelling , besides its terrific performances , is Fontaine ",'
Renner ,?
s ,f
See it f,o
... the kin,d
It ,'
Its engaging simplicity is driven b,y
"Swimming is above all about a young woman 's face , and by casting ",a
"A respectable venture on its own terms , lacking the broader vision that has seen ",c
It, 
An elegant film with often su,r
"Blessed with two fine , nuanced lead performan",c
"While this has the making of melodrama , the filmmaker cuts against this natural grain , producing a work that 's more interested in asking questions than in answering them", 
As a girl-meets-g,i
Yet it 's not quite the genre-busting film it 's be,e
You do n't need to know your Ice-T 's fro,m
Turturro is fabulously fu,n
Meant for Star War,s
It is there to give them a good tim,e
"From a deceptively simple premise , this deeply moving French drama develops a startling story that works both as a detailed personal portrait and as a rather frigh",t
Simply and eloquently articulate,s
Provides a very ,m
Terrific pe,r
"A little uneven to be the cat 's meow , but it 's ",g
"It 's a compelling and horrifying story , and The Laramie Project is wor",t
I ,l
There is a freedom to w,a
"That rare documentary that incorporates so much of human experience -- drama , conflict , tears and surprise -- that it transcends the normal divisions betwe",e
That rare movie that works on any, 
"It 's both degrading and strangely liberating to see people working so hard at leading lives of sexy intrigue , only to be revealed b",y
"A sharp and quick documentary that is funny and pithy , w",h
The film does a ,s
Fred Schepisi 's tale of four Englishmen facing the pros,p
The directive to protect the code at all costs also begins to blur as the importance of the man and the cod,e
"Overall , Cletis T",o
Easily one of the best and most exciting movies of t,h
The script manages the rare trick of seeming at, 
"An engaging , formulaic sports drama that carries a charge of genu",i
Insomnia is one of the year ',s
"Like Vardalos and Corbett , who play their roles with vibrant charm , the film , directed by Joel Zwick , is heartfelt and hilarious in ways you ca n't", 
I do n't know if Frailty will turn Bill Paxton, 
Despite its flaws ... Belinsky is still able to create an engagin,g
Each punch seen through prison ,b
"The evocative imagery and gentle , lapping r",h
Like the best of Godard 's movies ... it is visually r,a
Horns and Halos benefits, 
-LRB- Has -R,r
It treats Ana 's jour,n
Captivates as it shows excess in business and ,p
A, 
"How good this film might be , depends if you believe that the shocking ",c
Great fun both for sports aficionados and for ordinary louts whose idea, 
Features one of the most affecting depictions of a love affair ,e
"To honestly address the flaws inherent in how medical aid is made available to American workers , a more balanced or fair portrayal of both", 
One of the best movies of the ye,a
The ,u
A superlative B m,o
Those prone to indignation need not apply ; those s,u
Like Mike is n',t
"-LRB- Dong -RRB- makes a valiant effort to understand everyone 's point of view , and he does such a go",o
The trick when w,a
"At its best , which occurs often , Michael Moore 's Bowling for Columbine rekindles the muckraking , sou",l
journa,l
A modestly surpr,i
A headline-fresh thriller set among orthodox Jews on the ,w
"There 's a spontaneity to The Chateau , a sense of light-heartedne",s
"The first Tunisian film I have ever seen , and it 's also probably the most good-hearted yet sensual entertainment I 'm", 
Like any good romance ,","
-LRB- Kline 's -RRB- utt,e
"The film , while not exactly assured in its execution , is notable ",f
"A thoroughly enjoyable , heartfelt coming-of-a",g
Feel,i
Leigh makes these lives c,o
And he allows a gawky actor like S,p
A lot of f,u
P,r
What bubbles up out of John C,.
